[17:15:43] #39 | Session #39 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[17:16:36] #40 | Session #40 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[17:16:46] #41 | Session #41 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[18:29:01] #1 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[18:29:03] #2 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[18:29:09] #3 | Format: unbekannt | Motor: ?? | ?? | 020741000001695600030101
[18:29:10] #4 | Format: unbekannt | Motor: ?? | ?? | 021041000004696100696200696300696400037303
[18:29:13] #5 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[18:30:18] #6 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[18:36:31] #7 | Format: unbekannt | Motor: ?? | ?? | 020741000001695600030101
[18:36:32] #8 | Format: unbekannt | Motor: ?? | ?? | 021041000004696100696200696300696400037303
[18:36:42] #9 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[19:24:44] #1 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[19:24:53] #2 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:24:57] #3 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:25:07] #4 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:25:16] #5 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:25:16] #6 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:25:36] #7 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[19:31:11] #8 | Format: komplex (App) | Motor: ?? | ?? | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[19:44:06] #9 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:44:07] #10 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:44:10] #11 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:44:10] #12 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:44:11] #13 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:44:12] #14 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:44:17] #15 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:44:17] #16 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:48:22] #17 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:48:23] #18 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:48:44] #19 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:48:52] #20 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:49:29] #21 | Format: einfach | Motor: 5 | ?? | 0208410001014851000103DD00
[19:49:32] #22 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:49:32] #23 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:49:46] #24 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:49:48] #25 | Format: einfach | Motor: 5 | ?? | 0208410001014851000103DD00
[19:49:51] #26 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:49:53] #27 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:49:53] #28 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:49:57] #29 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:50:02] #30 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:50:02] #31 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:50:05] #32 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:50:13] #33 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:50:13] #34 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:50:15] #35 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:50:19] #36 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:50:19] #37 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:50:21] #38 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[19:50:28] #39 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:50:28] #40 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:50:30] #41 | Format: einfach | Motor: 5 | ?? | 0208410001014852000103DE00
[19:50:31] #42 | Format: unbekannt | Motor: ?? | ?? | 020941000101695F000000030B01
[19:50:33] #43 | Format: komplex (App) | Motor: ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
